crop_path,predicted_text,source_image,left,top,right,bottom
ocr_lab/dataset/rec_images/screenshot-1776354130__000.png,21:12,screenshot-1776354130.png,47,28,104,53
ocr_lab/dataset/rec_images/screenshot-1776354130__001.png,5.00 5,screenshot-1776354130.png,479,27,599,57
ocr_lab/dataset/rec_images/screenshot-1776354130__002.png,58,screenshot-1776354130.png,614,33,652,52
ocr_lab/dataset/rec_images/screenshot-1776354130__003.png,Featured,screenshot-1776354130.png,175,281,272,304
ocr_lab/dataset/rec_images/screenshot-1776354130__004.png,Office,screenshot-1776354130.png,329,279,393,304
ocr_lab/dataset/rec_images/screenshot-1776354130__005.png,The 5 FREE...,screenshot-1776354130.png,567,275,698,308
ocr_lab/dataset/rec_images/screenshot-1776354130__006.png,QSEARCH,screenshot-1776354130.png,298,1285,421,1308
ocr_lab/dataset/rec_images/screenshot-1776354130__007.png,0,screenshot-1776354130.png,351,1547,377,1569
ocr_lab/dataset/rec_images/screenshot-1776354210__000.png,21:13,screenshot-1776354210.png,47,28,102,53
ocr_lab/dataset/rec_images/screenshot-1776354210__001.png,0.55y,screenshot-1776354210.png,483,28,557,53
ocr_lab/dataset/rec_images/screenshot-1776354210__002.png,5G,screenshot-1776354210.png,547,28,597,55
ocr_lab/dataset/rec_images/screenshot-1776354210__003.png,58,screenshot-1776354210.png,614,32,656,52
ocr_lab/dataset/rec_images/screenshot-1776354210__004.png,Featured,screenshot-1776354210.png,175,281,272,304
ocr_lab/dataset/rec_images/screenshot-1776354210__005.png,Office,screenshot-1776354210.png,329,279,393,304
ocr_lab/dataset/rec_images/screenshot-1776354210__006.png,The 5 FREE...,screenshot-1776354210.png,567,275,698,308
ocr_lab/dataset/rec_images/screenshot-1776354210__007.png,QSEARCH,screenshot-1776354210.png,298,1285,421,1308
ocr_lab/dataset/rec_images/screenshot-1776354388__000.png,21:16,screenshot-1776354388.png,43,28,102,52
ocr_lab/dataset/rec_images/screenshot-1776354388__001.png,5G,screenshot-1776354388.png,556,28,594,55
ocr_lab/dataset/rec_images/screenshot-1776354388__002.png,58,screenshot-1776354388.png,611,32,649,52
ocr_lab/dataset/rec_images/screenshot-1776354388__003.png,Featured,screenshot-1776354388.png,175,281,272,304
ocr_lab/dataset/rec_images/screenshot-1776354388__004.png,Office,screenshot-1776354388.png,329,279,393,304
ocr_lab/dataset/rec_images/screenshot-1776354388__005.png,The 5 FREE...,screenshot-1776354388.png,567,274,698,308
ocr_lab/dataset/rec_images/screenshot-1776354388__006.png,QSEARCH,screenshot-1776354388.png,298,1285,421,1308
ocr_lab/dataset/rec_images/screenshot-1776354408__000.png,21:16,screenshot-1776354408.png,42,28,102,53
ocr_lab/dataset/rec_images/screenshot-1776354408__001.png,1.89,screenshot-1776354408.png,483,27,530,57
ocr_lab/dataset/rec_images/screenshot-1776354408__002.png,56,screenshot-1776354408.png,523,28,546,54
ocr_lab/dataset/rec_images/screenshot-1776354408__003.png,56,screenshot-1776354408.png,550,25,595,58
ocr_lab/dataset/rec_images/screenshot-1776354408__004.png,58,screenshot-1776354408.png,611,32,649,52
ocr_lab/dataset/rec_images/screenshot-1776354408__005.png,品,screenshot-1776354408.png,452,110,665,164
ocr_lab/dataset/rec_images/screenshot-1776354408__006.png,AC,screenshot-1776354408.png,70,706,134,749
ocr_lab/dataset/rec_images/screenshot-1776354408__007.png,%,screenshot-1776354408.png,254,707,296,747
ocr_lab/dataset/rec_images/screenshot-1776354408__008.png,7,screenshot-1776354408.png,92,876,118,921
ocr_lab/dataset/rec_images/screenshot-1776354408__009.png,8,screenshot-1776354408.png,258,874,291,922
ocr_lab/dataset/rec_images/screenshot-1776354408__010.png,9,screenshot-1776354408.png,429,876,464,922
ocr_lab/dataset/rec_images/screenshot-1776354408__011.png,X,screenshot-1776354408.png,601,882,637,917
ocr_lab/dataset/rec_images/screenshot-1776354408__012.png,4,screenshot-1776354408.png,88,1048,125,1091
ocr_lab/dataset/rec_images/screenshot-1776354408__013.png,5,screenshot-1776354408.png,258,1046,291,1096
ocr_lab/dataset/rec_images/screenshot-1776354408__014.png,2,screenshot-1776354408.png,261,1221,289,1268
ocr_lab/dataset/rec_images/screenshot-1776354408__015.png,3,screenshot-1776354408.png,431,1218,464,1266
ocr_lab/dataset/rec_images/screenshot-1776354408__016.png,+,screenshot-1776354408.png,594,1221,635,1263
ocr_lab/dataset/rec_images/screenshot-1776354441__000.png,21:17,screenshot-1776354441.png,42,28,99,53
ocr_lab/dataset/rec_images/screenshot-1776354441__001.png,8800,screenshot-1776354441.png,479,25,531,57
ocr_lab/dataset/rec_images/screenshot-1776354441__002.png,y,screenshot-1776354441.png,521,30,543,53
ocr_lab/dataset/rec_images/screenshot-1776354441__003.png,560,screenshot-1776354441.png,559,27,594,57
ocr_lab/dataset/rec_images/screenshot-1776354441__004.png,58,screenshot-1776354441.png,611,32,649,52
ocr_lab/dataset/rec_images/screenshot-1776354441__005.png,品,screenshot-1776354441.png,452,110,665,164
ocr_lab/dataset/rec_images/screenshot-1776354441__006.png,AC,screenshot-1776354441.png,70,706,134,749
ocr_lab/dataset/rec_images/screenshot-1776354441__007.png,%,screenshot-1776354441.png,254,707,296,747
ocr_lab/dataset/rec_images/screenshot-1776354441__008.png,7,screenshot-1776354441.png,92,876,118,921
ocr_lab/dataset/rec_images/screenshot-1776354441__009.png,8,screenshot-1776354441.png,258,874,291,922
ocr_lab/dataset/rec_images/screenshot-1776354441__010.png,9,screenshot-1776354441.png,429,876,464,922
ocr_lab/dataset/rec_images/screenshot-1776354441__011.png,X,screenshot-1776354441.png,601,882,637,917
ocr_lab/dataset/rec_images/screenshot-1776354441__012.png,4,screenshot-1776354441.png,88,1048,125,1091
